participantId,age,gender,education,location,belief_pre,belief_post,belief_change,distance_pre,distance_post,distance_change,intentions_pre,intentions_post,intentions_change,policy_adoption_pre,policy_adoption_post,policy_adoption_change,self_perceived_behavior_change,self_perceived_behavior_pre,self_perceived_behavior_post,consumption_pre,consumption_post,consumption_change,general_sharing_pre,general_sharing_post,general_sharing_change,intervention_sharing_post,choices,condition,combined_condition,strategy,type
6F2813CFC0C64C28B4570DF1A8DB31CC,24,2,5,2,100,100,0,4.6,4.6,0,3.5,3.5,0,92.57142857,92.85714286,0.2857142857,0,4,4,4.333333333,4.5,0.1666666667,0,0,0,,3,text_statement,text_statement_action,action,real_human
1F8FAFCF5442455CAF4C9CFF8620AB7E,31,1,3,2,97.5,97.5,0,4,4,0,4.25,4.25,0,87.85714286,85.71428571,-2.142857143,0,2,2,6.5,6.833333333,0.3333333333,0,0,0,0,1,text_statement,text_statement_control,control,real_human
B707B86F3166412B97EFC772223166BA,25,1,6,3,96.25,100,3.75,4.4,4.6,0.2,4.25,4.25,0,100,100,0,0,3,3,5.666666667,5.833333333,0.1666666667,0,0,0,,2,chat_nonpersonal,chat_nonpersonal_moral,moral,real_human
EEB8A221C4DF475A89ED8D72490A1DD4,29,2,6,2,77.75,79.25,1.5,4.8,4.8,0,3.5,3.75,0.25,68.42857143,71.85714286,3.428571429,0,2,2,3.666666667,3.833333333,0.1666666667,0,0,0,0,1,text_statement,text_statement_future,future,real_human
A4634667043F492A993D08B6484090E5,43,1,5,3,0,0,0,3.4,1,-2.4,1,1,0,34.42857143,32.57142857,-1.857142857,0,5,5,1.333333333,1.333333333,0,0,0,0,,0,chat_personalized,chat_personalized_control,control,real_human
63B846092F42481C8814B6C90FD15783,25,1,3,2,100,96.75,-3.25,5.4,6.6,1.2,4,3.75,-0.25,93,94,1,0,2,2,5.833333333,6.5,0.6666666667,1,1,0,1,4,chat_personalized,chat_personalized_future,future,real_human
3730294F3F5748E4B7FBEEF1666125B4,76,1,6,2,82,83.5,1.5,4.4,4.4,0,4.75,4.75,0,76.85714286,77.42857143,0.5714285714,0,1,1,6,6,0,0,1,1,0,0.5,text_statement,text_statement_moral,moral,real_human
3517877D21824ADD9E99D997C36B82C5,27,1,7,3,89.5,85,-4.5,6,6.2,0.2,4.25,4.5,0.25,65.57142857,60.14285714,-5.428571429,0,3,3,6.333333333,6.5,0.1666666667,1,1,0,0,6,chat_nonpersonal,chat_nonpersonal_control,control,real_human
AE952884EE594856937818E84382273A,26,2,5,3,99.75,100,0.25,7,4.6,-2.4,4.25,3.75,-0.5,100,100,0,0,2,2,6.5,6.5,0,1,1,0,1,6,text_statement,text_statement_moral,moral,real_human
41EAB813AD5A40ECA94D52563B16D4E7,32,1,2,1,100,100,0,5.6,5.6,0,3,2.75,-0.25,72.85714286,73,0.1428571429,0,2,2,2.666666667,2.833333333,0.1666666667,0,0,0,,0,chat_nonpersonal,chat_nonpersonal_control,control,real_human
2A9793F5979A466B86A191A3049C91D9,43,2,5,2,61,59.75,-1.25,4,4,0,3.25,3.25,0,52.57142857,52.57142857,0,0,3,3,2.333333333,2.666666667,0.3333333333,0,0,0,,0.6666666667,chat_personalized,chat_personalized_control,control,real_human
B37F0B3D0FCF4B5590174D38E204BF3D,48,2,6,3,37,46.25,9.25,5,5.2,0.2,3.75,3.5,-0.25,70,62.14285714,-7.857142857,0,5,5,5,4,-1,1,1,0,,0.2,text_statement,text_statement_control,control,real_human
9A07D92FA3774B5AA8B154A072559A9B,44,1,5,2,98,100,2,4.6,4.6,0,3.25,3.5,0.25,99.71428571,100,0.2857142857,0,3,3,5.833333333,5.833333333,0,1,1,0,,3,chat_nonpersonal,chat_nonpersonal_action,action,real_human
85DDE07013CC43B083117014A898A92C,30,1,5,2,100,100,0,4.6,4.6,0,5,5,0,71.42857143,71.42857143,0,0,5,5,6.833333333,7,0.1666666667,1,1,0,1,4,text_statement,text_statement_action,action,real_human
7ADB88C7A49F4838A1ACA6709EB00B73,58,1,6,3,90,90,0,4.4,4.4,0,3.25,3.25,0,90,90,0,0,3,3,6,6,0,1,1,0,0,4,text_statement,text_statement_action,action,real_human
CA8B8E3ED1E84C7BAA9A1D92BEA68828,45,2,4,2,93.5,98,4.5,4.6,4.6,0,4.25,4.25,0,86.28571429,85.71428571,-0.5714285714,0,2,2,6,6.333333333,0.3333333333,0,0,0,,4,chat_nonpersonal,chat_nonpersonal_future,future,real_human
7837F092ABDB4696B653011B7481CCF5,29,1,5,3,37.5,21.75,-15.75,5.4,4.8,-0.6,4.25,3.75,-0.5,54.28571429,43.28571429,-11,0,3,3,6,6,0,1,1,0,,3,chat_personalized,chat_personalized_moral,moral,real_human
5EE164EF989C4AF4B4F2A7B0DCF995D5,20,2,2,2,60,60,0,5.4,5.4,0,2,2,0,50,45.71428571,-4.285714286,0,4,4,3.333333333,3,-0.3333333333,0,0,0,,6,chat_nonpersonal,chat_nonpersonal_control,control,real_human
CF8AC0826E67464FBEC5C0870121BE09,18,1,3,2,68.5,69.75,1.25,5.6,5.8,0.2,3.5,3.75,0.25,76.57142857,75.14285714,-1.428571429,0,3,3,4.333333333,4.5,0.1666666667,0,0,0,,1.2,text_statement,text_statement_moral,moral,real_human
6D1184B973EE42BBA25592B2989F2B29,33,1,5,2,67,75.75,8.75,5.2,5.4,0.2,4.25,4,-0.25,69,71.28571429,2.285714286,0,4,4,6.166666667,6.333333333,0.1666666667,0,0,0,,6,text_statement,text_statement_future,future,real_human
5A606E625C384C9AB48B2DE67C6DEED5,36,2,2,1,0,0,0,3.4,3.4,0,1,1,0,18.28571429,16.85714286,-1.428571429,0,3,3,3.5,3,-0.5,0,0,0,,0.5,text_statement,text_statement_action,action,real_human
2855D8FB26D746D386748548550415C6,46,2,5,3,64,73,9,5.2,5.4,0.2,3.25,3.25,0,70.28571429,69.85714286,-0.4285714286,0,2,2,4.666666667,5.166666667,0.5,0,0,0,,0.5,text_statement,text_statement_moral,moral,real_human
0835DE564D654FDBBB0C74A252B0AEEC,35,2,2,2,90,91.25,1.25,3.2,2.2,-1,3.75,3.75,0,55,55,0,0,2,2,1.166666667,1,-0.1666666667,,,,,1,chat_personalized,chat_personalized_moral,moral,real_human
A4D4E985E90C44089B7440BAF4E72132,33,2,5,1,6.25,9.25,3,2.4,2.6,0.2,3.5,4.5,1,42.85714286,50,7.142857143,1,2,3,3.666666667,4,0.3333333333,1,1,0,0,5,chat_personalized,chat_personalized_action,action,real_human
F549A815D08C4FADBABB28A4AD1B861B,30,2,5,1,100,100,0,3.4,3.4,0,3.5,3.5,0,65.71428571,65.71428571,0,0,4,4,4.666666667,4.5,-0.1666666667,0,0,0,,0,text_statement,text_statement_future,future,real_human
