participantId,age,gender,education,location,belief_pre,belief_post,belief_change,distance_pre,distance_post,distance_change,policy_adoption_pre,policy_adoption_post,policy_adoption_change,consumption_pre,consumption_post,consumption_change,general_sharing_pre,general_sharing_post,general_sharing_change,intervention_sharing_post,perceived_anthropomorphism_post,perceived_animacy_post,perceived_likeability_post,perceived_intelligence_post,perceived_safety_post,empathy_with_the_animal_post,climate_change_impact_on_animal_post,intentions_pre,intentions_post,intentions_change,self_perceived_behavior_pre,self_perceived_behavior_post,self_perceived_behavior_change,choices,condition,animal
CEC3483E1AA1408D9B94B869079167B9,56,2,6,2,100,100,0,4.2,4.6,0.4,95.14285714,98.57142857,3.428571429,5.5,5.333333333,-0.1666666667,,,,0,5,5,5,5,2,5,5,5,5,0,4.5,4,-0.5,5,Static Character Narrative,beluga
B5C4223144EE45FCA8ADFE96F895CD00,51,2,7,2,100,100,0,4.6,4.2,-0.4,95.71428571,99.14285714,3.428571429,5,6,1,1,1,0,1,2,2.5,5,4,3,5,5,3.5,3.5,0,3,3,0,2,Static Character Narrative,beluga
C1EDF37CD4A44E8B9A5A63A04D9E5696,49,2,3,3,100,100,0,4.8,4.4,-0.4,86.42857143,92.85714286,6.428571429,6.5,7,0.5,,,,0,4,5,5,5,5,5,5,4.5,5,0.5,4,4,0,4,Static Character Narrative,beluga
C9439BEA746F47A2B81E3D8B1B7CE47E,41,1,5,2,90.75,83.75,-7,4.6,4.2,-0.4,75.57142857,75.57142857,0,4.5,4.833333333,0.3333333333,0,0,0,,3,3,2,2,3,2,4,3,3,0,2,2,0,0,Static Character Narrative,beluga
F82D519FB0BA40059E93AC35E1735EA5,45,2,6,2,49,51.25,2.25,4,3.8,-0.2,52,54,2,3.666666667,3.5,-0.1666666667,0,0,0,,2,4,5,4,3,4,4,3,3,0,2.5,3,0.5,0.5,Static Character Narrative,beluga
47F818680598408881AC3C0FC5AE2A06,46,2,3,1,39.25,48.25,9,4.2,4.2,0,43.57142857,38.28571429,-5.285714286,4.5,5,0.5,0,0,0,0,4,4.5,5,4,2,4,4,4.5,4.5,0,5,5,0,4,Static Character Narrative,beluga
F37EEEE322E54EA1B070C16D96C305EC,44,2,3,2,83.75,83.75,0,3.8,3.8,0,92.14285714,92.14285714,0,3.833333333,4,0.1666666667,1,1,0,0,1,2.5,5,5,3,4,4,5,5,0,2,2,0,4,Static Character Narrative,beluga
CBD2053ABF324C2BBB3539CDA271B58F,48,2,6,2,100,100,0,4.6,7,2.4,91.71428571,98.57142857,6.857142857,6.666666667,7,0.3333333333,,,,0,3,3,5,5,3,4,4,4,3,-1,3.5,3,-0.5,0,Static Character Narrative,beluga
E682C2B30A144B14929B0B2D7C01E7D3,43,1,3,2,89.75,93.75,4,4.6,4.4,-0.2,82.28571429,89.85714286,7.571428571,5.333333333,5.333333333,0,1,1,0,0,5,5,5,4,4,4,5,3.5,3.5,0,3,3,0,2,Static Character Narrative,beluga
EAE68CF98F144BE29A3046AA3C8BA239,42,1,7,1,100,100,0,4,4,0,84.57142857,86.14285714,1.571428571,6.166666667,6.166666667,0,,,,,4,4,5,4,4,5,5,4,4,0,3,3,0,1,Static Character Narrative,beluga
CAC894B87EE641C9A8644589DE64256F,46,2,5,2,19.75,12.5,-7.25,5,5.4,0.4,8.714285714,8.285714286,-0.4285714286,1.666666667,1.5,-0.1666666667,0,0,0,0,2,2.5,4,4,4,3,4,3,2.5,-0.5,4,4,0,0.25,Static Character Narrative,beluga
